"unlist.xx."
"1769308_at"	"YKR009C"
"1769311_at"	"YDL157C"
"1769312_at"	"YER059W"
"1769313_at"	"YGL059W"
"1769314_at"	"YDR481C"
"1769317_at"	"YML113W"
"1769319_at"	"YIL157C"
"1769320_at"	"YPR003C"
"1769321_at"	"YNR074C"
"1769322_s_at1"	"YLR154C-H"
"1769322_s_at2"	"YLR156C-A"
"1769322_s_at3"	"YLR159C-A"
"1769322_s_at4"	"YLR157C-C"
"1769323_at"	"YKL012W"
"1769324_at"	"YJL147C"
"1769325_at"	"YDL216C"
"1769329_at"	"YNL320W"
"1769331_at"	"YHL007C"
"1769333_at"	"YPL223C"
"1769335_at"	"YKL138C"
"1769336_at"	"YNL126W"
"1769338_at"	"YKL055C"
"1769339_at"	"YML035C"
"1769341_at"	"YER087C-B"
"1769342_at"	"YIL160C"
"1769344_at"	"YLR050C"
"1769345_at"	"YOR037W"
"1769346_at"	"YOL008W"
"1769349_s_at"	"YOR072W-B"
"1769350_at"	"YPL253C"
"1769352_at"	"YDL048C"
"1769356_at"	"YDR056C"
"1769358_at"	"YNL083W"
"1769359_at"	"YCR081W"
"1769361_at"	"YDL159W"
"1769362_at"	"YCR024C-B"
"1769365_at"	"YPL154C"
"1769366_at"	"YDR020C"
"1769368_at"	"YOR290C"
"1769371_at"	"YGR267C"
"1769373_at"	"YNL216W"
"1769374_at"	"YFL034C-B"
"1769375_at"	"YEL031W"
"1769377_at"	"YBR238C"
"1769378_at"	"YFL045C"
"1769379_at"	"YGL222C"
"1769383_at"	"YIR021W"
"1769384_at"	"YHR014W"
"1769385_at"	"YEL006W"
"1769387_at"	"YDL029W"
"1769388_at"	"YLR401C"
"1769390_s_at"	"YDR447C"
"1769392_at"	"YOR192C-C"
"1769395_at"	"YER026C"
"1769397_s_at1"	"YOR182C"
"1769397_s_at2"	"YLR287C-A"
"1769403_at"	"YKL195W"
"1769406_at"	"YDR144C"
"1769407_at"	"YDR439W"
"1769411_at"	"YBR149W"
"1769418_at"	"YER114C"
"1769419_at"	"YMR247C"
"1769420_at"	"YMR076C"
"1769421_at"	"YGR056W"
"1769422_at"	"YAL013W"
"1769426_at"	"YPR002W"
"1769428_at"	"YOR175C"
"1769431_at"	"YDL167C"
"1769434_at"	"YDR465C"
"1769435_at"	"YJL201W"
"1769442_at"	"YDR495C"
"1769443_at"	"YDR501W"
"1769446_at"	"YHL010C"
"1769448_at"	"YHR152W"
"1769450_at"	"YER035W"
"1769451_at"	"YHR002W"
"1769452_at"	"YPL020C"
"1769455_at"	"YLR286C"
"1769456_at"	"YKL061W"
"1769459_at"	"YHR131C"
"1769460_at"	"YJL185C"
"1769461_at"	"YMR317W"
"1769462_at"	"YIL125W"
"1769463_at"	"YPL065W"
"1769464_at"	"YGR130C"
"1769466_at"	"YDL049C"
"1769467_at"	"YBR065C"
"1769468_at"	"YJR082C"
"1769472_at"	"YMR182C"
"1769474_at"	"YPL264C"
"1769478_at"	"YPL199C"
"1769481_at"	"YGR080W"
"1769482_at"	"YLR125W"
"1769484_at"	"YNL292W"
"1769485_s_at"	"YAR033W"
"1769487_at"	"YKL063C"
"1769495_at"	"YIL010W"
"1769500_at"	"YGR113W"
"1769501_at"	"YLR266C"
"1769502_at"	"YPL050C"
"1769503_at"	"YDR447C"
"1769504_at"	"YML019W"
"1769506_at"	"YKL166C"
"1769510_at"	"YJR139C"
"1769511_at"	"YNR038W"
"1769514_at"	"YJL165C"
"1769515_at"	"YFL012W"
"1769516_at"	"YDL086W"
"1769518_x_at1"	"YIL176C"
"1769518_x_at2"	"YJL223C"
"1769519_at"	"YKL096W"
"1769520_at"	"YLR064W"
"1769523_at"	"YBR194W"
"1769525_at"	"YEL003W"
"1769526_at"	"YDR205W"
"1769527_at"	"YKL075C"
"1769528_at"	"YHR198C"
"1769531_at"	"YGL138C"
"1769534_at"	"YMR212C"
"1769538_at"	"YNR055C"
"1769539_at"	"YNL222W"
"1769541_at"	"YPR042C"
"1769544_at"	"YLR149C"
"1769549_at"	"YOR271C"
"1769550_at"	"YHR197W"
"1769551_at"	"YAL034C"
"1769554_at"	"YOR084W"
"1769555_at"	"YGL083W"
"1769556_at"	"YDR140W"
"1769557_at"	"YMR216C"
"1769558_at"	"YJL042W"
"1769562_at"	"YDR472W"
"1769564_at"	"YDR207C"
"1769566_at"	"YIL075C"
"1769568_at"	"YGR010W"
"1769570_at"	"YDR245W"
"1769571_at"	"YDR473C"
"1769573_at"	"YOR187W"
"1769575_at"	"YDR486C"
"1769576_at"	"YMR003W"
"1769579_at"	"YGL121C"
"1769580_at"	"YJL186W"
"1769585_at"	"YBR285W"
"1769586_at"	"YOL028C"
"1769587_at"	"YMR220W"
"1769591_at"	"YAR002W"
"1769597_at"	"YMR049C"
